Name,Category,Equipment
Partner plank band row,Abdominals,Bands
Banded crunch isometric hold,Abdominals,Bands
FYR Banded Plank Jack,Abdominals,Bands
Banded crunch,Abdominals,Bands
Crunch,Abdominals,Bands
Decline band press sit-up,Abdominals,Bands
FYR2 Banded Frog Pump,Abdominals,Bands
Band low-to-high twist,Abdominals,Bands
Barbell roll-out,Abdominals,Barbell
Barbell Ab Rollout - On Knees,Abdominals,Barbell
Decline bar press sit-up,Abdominals,Barbell
Bench barbell roll-out,Abdominals,Barbell
Barbell Side Bend,Abdominals,Barbell
Seated bar twist,Abdominals,Barbell
Single-arm landmine pull and press,Abdominals,Barbell
Barbell Ab Roll Out - Gethin Variation,Abdominals,Barbell
30 Barbell Floor Wiper,Abdominals,Barbell
30 Barbell Roll-Out,Abdominals,Barbell
Decline plate sit-up,Abdominals,Barbell
KV Barbell Hip Thrust,Abdominals,Barbell
Advanced Kettlebell Windmill,Abdominals,Kettlebells
Kettlebell Windmill,Abdominals,Kettlebells
Kettlebell Pass Between The Legs,Abdominals,Kettlebells
Kettlebell 3-point leg extension,Abdominals,Kettlebells
Double Kettlebell Swing,Abdominals,Kettlebells
Burpee over kettlebell,Abdominals,Kettlebells
Kettlebell toe-touch,Abdominals,Kettlebells
Kettlebell swing,Abdominals,Kettlebells
Two-way swing,Abdominals,Kettlebells
Kettlebell crab reach,Abdominals,Kettlebells
Taylor Single-Arm Kettlebell Swing,Abdominals,Kettlebells
Holman Kettlebell Up to Elbow Down,Abdominals,Kettlebells
FYR2 Double-Kettlebell Ski,Abdominals,Kettlebells
FYR2 Kettlebell Hike,Abdominals,Kettlebells
FYR2 Kettlebell Cross-Body Catch,Abdominals,Kettlebells
FYR2 Kettlebell Duck Walk,Abdominals,Kettlebells
FYR2 Kettlebell Get-Up Reach,Abdominals,Kettlebells
FYR2 Kettlebell Juggle,Abdominals,Kettlebells
FYR2 Squat-Clean-Alternating-Press Complex,Abdominals,Kettlebells
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell
Dumbbell spell caster,Abdominals,Dumbbell
Dumbbell side bend,Abdominals,Dumbbell
Dumbbell crunch,Abdominals,Dumbbell
Dumbbell Fix Dumbbell Sprawl,Abdominals,Dumbbell
Dumbbell Fix Alternating Renegade Row,Abdominals,Dumbbell
Dumbbell Fix Dumbbell Mountain Climber,Abdominals,Dumbbell
Dumbbell Fix Dumbbell Russian Twist,Abdominals,Dumbbell
Dumbbell Fix Dumbbell Pull-Over,Abdominals,Dumbbell
Dumbbell Fix Dumbbell Sit-Up,Abdominals,Dumbbell
Dumbbell Fix Dumbbell Front Squat,Abdominals,Dumbbell
Dumbbell Fix Full Man Maker,Abdominals,Dumbbell
Dumbbell T-hold,Abdominals,Dumbbell
Dumbbell hollow-body floor press,Abdominals,Dumbbell
Dumbbell crusher,Abdominals,Dumbbell
Dumbbell Crunch - Gethin Variation,Abdominals,Dumbbell
Single-arm dumbbell crunch,Abdominals,Dumbbell
HM Alternating Dumbbell Plank Row,Abdominals,Dumbbell
Dumbbell straight-legged hip raise,Abdominals,Dumbbell
